REEF,data,variableName,Month,Year
Barnards,0.4874132,Chl_MIM_median,5,2005
Barnards,0.09917535,Kd_490_MIM_median,5,2005
Barnards,0.7063802,Nap_MIM_median,5,2005
Barnards,0.048611112,CDOM_MIM_median,5,2005
Barnards,0.4874132,Chl_MIM_median,5,2005
Barnards,0.09917535,Kd_490_MIM_median,5,2005
Barnards,0.7063802,Nap_MIM_median,5,2005
Barnards,0.048611112,CDOM_MIM_median,5,2005
Barnards,0.4874132,Chl_MIM_median,5,2005
Barnards,0.09917535,Kd_490_MIM_median,5,2005
Barnards,0.585395,Nap_MIM_median,6,2005
Barnards,0.0483941,CDOM_MIM_median,6,2005
Barnards,0.4722222,Chl_MIM_median,6,2005
Barnards,0.09613715,Kd_490_MIM_median,6,2005
Barnards,0.585395,Nap_MIM_median,6,2005
Barnards,0.0483941,CDOM_MIM_median,6,2005
Barnards,0.4722222,Chl_MIM_median,6,2005
Barnards,0.09613715,Kd_490_MIM_median,6,2005
Barnards,0.585395,Nap_MIM_median,6,2005
Barnards,0.0483941,CDOM_MIM_median,6,2005
Barnards,0.4722222,Chl_MIM_median,6,2005
Barnards,0.09613715,Kd_490_MIM_median,6,2005
Barnards,0.6763238,Nap_MIM_median,7,2005
Barnards,0.04481337,CDOM_MIM_median,7,2005
Barnards,0.36990017,Chl_MIM_median,7,2005
Barnards,0.09613715,Kd_490_MIM_median,7,2005
Barnards,0.6763238,Nap_MIM_median,7,2005
Barnards,0.04481337,CDOM_MIM_median,7,2005
Barnards,0.36990017,Chl_MIM_median,7,2005
Barnards,0.09613715,Kd_490_MIM_median,7,2005
Barnards,0.6763238,Nap_MIM_median,7,2005
Barnards,0.04481337,CDOM_MIM_median,7,2005
Barnards,0.36990017,Chl_MIM_median,7,2005
Barnards,0.09613715,Kd_490_MIM_median,7,2005
Barnards,0.71625435,Nap_MIM_median,8,2005
Barnards,0.038411457,CDOM_MIM_median,8,2005
Barnards,0.49370658,Chl_MIM_median,8,2005
Barnards,0.098090276,Kd_490_MIM_median,8,2005
Barnards,0.71625435,Nap_MIM_median,8,2005
Barnards,0.038411457,CDOM_MIM_median,8,2005
Barnards,0.49370658,Chl_MIM_median,8,2005
Barnards,0.098090276,Kd_490_MIM_median,8,2005
Barnards,0.71625435,Nap_MIM_median,8,2005
Barnards,0.038411457,CDOM_MIM_median,8,2005
