"","REEF","VISIT_NO","DEPTH","Acroporidae","Dendrophylliidae","propAC"
"411","Magnetic",8,2,15.5,4.5,0.775
"412","Magnetic",8,5,9,53.5,0.144
"413","Magnetic",9,2,18,10.5,0.631578947368421
"414","Magnetic",9,5,14.5,81,0.151832460732984
"415","Magnetic",10,2,26.5,11,0.706666666666667
"416","Magnetic",10,5,24.5,83,0.227906976744186
"417","Magnetic",11,2,14.5,13,0.527272727272727
"418","Magnetic",11,5,12,78,0.133333333333333
"419","Magnetic",12,2,11.5,11,0.511111111111111
"420","Magnetic",12,5,9.5,68,0.12258064516129
"421","Magnetic",13,2,10.5,8,0.567567567567568
"422","Magnetic",13,5,19,71,0.211111111111111
"423","Middle",1,2,7.5,0,1
"424","Middle",1,5,22,0,1
"425","Middle",2,2,7.5,0,1
"426","Middle",2,5,15,0,1
"427","Middle",4,2,8,0,1
"428","Middle",4,5,12,1,0.923076923076923
"429","Middle",6,2,10,0,1
"430","Middle",6,5,12,1,0.923076923076923
"431","Middle",8,2,19,0,1
"432","Middle",8,5,24,5,0.827586206896552
"433","Middle",10,2,11,0,1
"434","Middle",10,5,16,2,0.888888888888889
"435","Middle",11,2,19,0,1
"436","Middle",11,5,27,5,0.84375
"437","Middle",12,2,40,1.5,0.963855421686747
"438","Middle",12,5,33,11,0.75
"439","Middle",14,2,73.5,6.5,0.91875
"440","Middle",14,5,39,89,0.3046875
"441","Middle Rf",1,2,3.5,20.5,0.145833333333333
"442","Middle Rf",2,2,13.5,5,0.72972972972973
"443","Middle Rf",3,2,8,27.5,0.225352112676056
"444","Middle Rf",5,2,10,9.5,0.512820512820513
"445","Middle Rf",7,2,4.5,4,0.529411764705882
"446","Middle Rf",9,2,5.5,15,0.268292682926829
"447","North Keppel",1,2,34,0,1
"448","North Keppel",1,5,2.5,0,1
"449","North Keppel",2,2,11,0,1
"450","North Keppel",2,5,9.5,0.5,0.95
"451","North Keppel",3,2,12,0,1
"452","North Keppel",3,5,10,0,1
"453","North Keppel",5,2,10,0,1
"454","North Keppel",5,5,7,0,1
"455","North Keppel",7,2,16.5,0,1
"456","North Keppel",7,5,4,0,1
"457","North Keppel",9,2,3,0,1
"458","North Keppel",9,5,1.5,0.5,0.75
"459","North Keppel",10,2,5,0,1
"460","North Keppel",10,5,6.5,0.5,0.928571428571429
"461","North Keppel",11,2,18.5,0,1
"462","North Keppel",11,5,19,0.5,0.974358974358974
"463","North Keppel",13,2,18,0,1
"464","North Keppel",13,5,15.5,1.5,0.911764705882353
"465","Palms East",1,2,3,0,1
"466","Palms East",1,5,8.5,0.5,0.944444444444444
"467","Palms East",2,2,5,0,1
"468","Palms East",2,5,4,0,1
"469","Palms East",4,2,10.5,0.5,0.954545454545455
"470","Palms East",4,5,10,0,1
"471","Palms East",6,2,28.5,0,1
"472","Palms East",6,5,24,0,1
"473","Palms East",7,2,5,0,1
"474","Palms East",7,5,6,0,1
"475","Palms East",8,2,32,0.5,0.984615384615385
"476","Palms East",8,5,20,1.5,0.930232558139535
"477","Palms East",10,2,95.5,0.5,0.994791666666667
"478","Palms East",10,5,100,6.5,0.938967136150235
"479","Palms East",12,2,63.5,4,0.940740740740741
"480","Palms East",12,5,54,19,0.73972602739726
"481","Palms East",14,2,24.5,2.5,0.907407407407407
"482","Palms East",14,5,35,19,0.648148148148148
"483","Palms West",1,2,6,0,1
"484","Palms West",1,5,8,1,0.888888888888889
"485","Palms West",2,2,19.5,7,0.735849056603774
"486","Palms West",2,5,5.5,2.5,0.6875
"487","Palms West",3,2,22,3.5,0.862745098039216
"488","Palms West",3,5,8.5,1,0.894736842105263
"489","Palms West",4,2,19,5.5,0.775510204081633
"490","Palms West",4,5,7,1,0.875
"491","Palms West",5,2,23.5,0.5,0.979166666666667
"492","Palms West",5,5,16,6.5,0.711111111111111
"493","Palms West",6,2,24,1.5,0.941176470588235
"494","Palms West",6,5,14,1,0.933333333333333
"495","Palms West",7,2,9,1.5,0.857142857142857
"496","Palms West",7,5,12.5,4,0.757575757575758
"497","Palms West",8,2,35.5,1,0.972602739726027
"498","Palms West",8,5,12,2,0.857142857142857
"499","Palms West",9,2,42.5,1,0.977011494252874
"500","Palms West",9,5,23.5,2.5,0.903846153846154
"501","Palms West",10,2,27.5,2.5,0.916666666666667
"502","Palms West",10,5,21.5,3,0.877551020408163
"503","Palms West",11,2,24.5,2,0.924528301886792
"504","Palms West",11,5,16.5,3,0.846153846153846
"505","Palms West",12,2,24,0.5,0.979591836734694
